size, time
196608, 5383764
196608, 5571992
196608, 5802146
196608, 6156883
196608, 5337879
196608, 5090381
196608, 5331733
196608, 4976944
196608, 5723710
196608, 5560013
196608, 5375535
196608, 5263139
196608, 5233921
196608, 9428787
196608, 9856284
196608, 9256966
196608, 5143818
196608, 5524440
196608, 5338660
196608, 5200224
196608, 5297514
196608, 5112776
196608, 5431107
196608, 5241681
196608, 5254754
196608, 5139651
196608, 9000769
196608, 10118834
248832, 14120547
248832, 9394219
248832, 14073880
248832, 8695317
248832, 7315429
248832, 9179116
248832, 7360844
248832, 7382199
248832, 8578234
248832, 8884118
248832, 6946159
248832, 6716577
248832, 7360637
248832, 6855379
248832, 6920430
248832, 8576984
248832, 6549339
248832, 7033347
248832, 7953966
248832, 8005477
248832, 12322380
248832, 7793967
248832, 7389594
248832, 7234074
248832, 7345897
248832, 6418558
248832, 8770369
248832, 6293872
248832, 6283351
248832, 8354276
248832, 8109226
248832, 8658338
248832, 8395266
248832, 8288600
248832, 8222611
248832, 11615822
248832, 7030065
248832, 6846212
248832, 6670432
248832, 8359329
248832, 8695577
248832, 8206882
248832, 6640172
248832, 6005331
248832, 8226049
248832, 8522921
248832, 8031310
248832, 12590034
248832, 8028602
248832, 6856369
307200, 20646130
307200, 9346040
307200, 10232232
307200, 9374425
307200, 9082187
307200, 9205624
307200, 8730314
307200, 10942645
307200, 9081666
307200, 10131608
307200, 10802646
307200, 9883433
307200, 10714261
307200, 9209843
307200, 8537763
307200, 9009167
307200, 10565929
307200, 10917280
307200, 9531924
307200, 8013496
307200, 9577653
307200, 8730522
307200, 9208592
307200, 9106874
307200, 10824886
307200, 10573116
307200, 8314535
307200, 10521762
307200, 10484940
307200, 9919318
307200, 15331005
307200, 9433903
307200, 8094224
307200, 7884590
307200, 8426930
307200, 8060943
307200, 8160370
307200, 7818392
307200, 8279848
307200, 8166932
307200, 8269379
307200, 7836778
307200, 15018194
307200, 15285433
307200, 15434233
307200, 8248911
307200, 8635367
307200, 8517451
307200, 8517764
307200, 8190994
